B;C;D;E;F
08/12/2015;DG#21;0;0;#DIV/0!
08/12/2015;DG#22;0;0;#DIV/0!
08/12/2015;DG#23;191448;40166;209,8
09/12/2015;DG#01;0;0;#DIV/0!
09/12/2015;DG#02;0;0;#DIV/0!
09/12/2015;DG#03;0;0;#DIV/0!
09/12/2015;DG#04;0;0;#DIV/0!
09/12/2015;DG#05;0;0;#DIV/0!
09/12/2015;DG#06;0;2;#DIV/0!
09/12/2015;DG#07;0;0;#DIV/0!
09/12/2015;DG#08;0;0;#DIV/0!
09/12/2015;DG#09;0;0;#DIV/0!
09/12/2015;DG#10;0;0;#DIV/0!
09/12/2015;DG#11;0;0;#DIV/0!
09/12/2015;DG#12;0;0;#DIV/0!
09/12/2015;DG#13;0;0;#DIV/0!
09/12/2015;DG#14;0;0;#DIV/0!
09/12/2015;DG#15;0;0;#DIV/0!
09/12/2015;DG#16;0;0;#DIV/0!
09/12/2015;DG#17;0;0;#DIV/0!
09/12/2015;DG#18;208920;44538;213,18
09/12/2015;DG#19;204464;42434;207,54
09/12/2015;DG#20;0;0;#DIV/0!
09/12/2015;DG#21;0;2;#DIV/0!
09/12/2015;DG#22;0;0;#DIV/0!
09/12/2015;DG#23;191448;40150;209,72
10/12/2015;DG#01;0;0;#DIV/0!
10/12/2015;DG#02;0;0;#DIV/0!
10/12/2015;DG#03;0;2;#DIV/0!
10/12/2015;DG#04;0;0;#DIV/0!
10/12/2015;DG#05;0;0;#DIV/0!
10/12/2015;DG#06;0;2;#DIV/0!
10/12/2015;DG#07;0;0;#DIV/0!
10/12/2015;DG#08;0;0;#DIV/0!
10/12/2015;DG#09;0;0;#DIV/0!
10/12/2015;DG#10;0;0;#DIV/0!
10/12/2015;DG#11;0;0;#DIV/0!
10/12/2015;DG#12;0;2;#DIV/0!
10/12/2015;DG#13;0;0;#DIV/0!
10/12/2015;DG#14;0;0;#DIV/0!
10/12/2015;DG#15;0;0;#DIV/0!
10/12/2015;DG#16;0;0;#DIV/0!
10/12/2015;DG#17;0;0;#DIV/0!
10/12/2015;DG#18;208912;44464;212,84
10/12/2015;DG#19;204456;42398;207,37
10/12/2015;DG#20;0;0;#DIV/0!
10/12/2015;DG#21;0;0;#DIV/0!
10/12/2015;DG#22;0;0;#DIV/0!
10/12/2015;DG#23;191440;40112;209,53
11/12/2015;DG#01;0;0;#DIV/0!
11/12/2015;DG#02;0;0;#DIV/0!
11/12/2015;DG#03;0;2;#DIV/0!
11/12/2015;DG#04;0;0;#DIV/0!
11/12/2015;DG#05;0;0;#DIV/0!
11/12/2015;DG#06;0;2;#DIV/0!
11/12/2015;DG#07;0;0;#DIV/0!
11/12/2015;DG#08;0;0;#DIV/0!
11/12/2015;DG#09;0;0;#DIV/0!
11/12/2015;DG#10;0;0;#DIV/0!
11/12/2015;DG#11;0;0;#DIV/0!
11/12/2015;DG#12;0;0;#DIV/0!
11/12/2015;DG#13;0;0;#DIV/0!
11/12/2015;DG#14;0;0;#DIV/0!
11/12/2015;DG#15;0;0;#DIV/0!
11/12/2015;DG#16;0;0;#DIV/0!
11/12/2015;DG#17;0;0;#DIV/0!
11/12/2015;DG#18;208912;44478;212,9
11/12/2015;DG#19;204464;42404;207,39
11/12/2015;DG#20;0;120;#DIV/0!
11/12/2015;DG#21;0;2;#DIV/0!
11/12/2015;DG#22;0;0;#DIV/0!
11/12/2015;DG#23;191456;40090;209,4
12/12/2015;DG#01;0;0;#DIV/0!
12/12/2015;DG#02;0;0;#DIV/0!
12/12/2015;DG#03;0;0;#DIV/0!
12/12/2015;DG#04;0;0;#DIV/0!
12/12/2015;DG#05;0;0;#DIV/0!
12/12/2015;DG#06;0;0;#DIV/0!
12/12/2015;DG#07;0;0;#DIV/0!
12/12/2015;DG#08;0;0;#DIV/0!
12/12/2015;DG#09;0;0;#DIV/0!
12/12/2015;DG#10;0;0;#DIV/0!
12/12/2015;DG#11;0;0;#DIV/0!
12/12/2015;DG#12;0;0;#DIV/0!
12/12/2015;DG#13;0;0;#DIV/0!
12/12/2015;DG#14;0;0;#DIV/0!
12/12/2015;DG#15;0;0;#DIV/0!
12/12/2015;DG#16;0;0;#DIV/0!
12/12/2015;DG#17;0;0;#DIV/0!
12/12/2015;DG#18;208920;44462;212,82
12/12/2015;DG#19;204448;42532;208,03
12/12/2015;DG#20;0;2;#DIV/0!
12/12/2015;DG#21;0;0;#DIV/0!
12/12/2015;DG#22;0;0;#DIV/0!
12/12/2015;DG#23;191448;40162;209,78
13/12/2015;DG#01;0;0;#DIV/0!
13/12/2015;DG#02;0;0;#DIV/0!
13/12/2015;DG#03;0;0;#DIV/0!
13/12/2015;DG#04;0;0;#DIV/0!
13/12/2015;DG#05;0;0;#DIV/0!
13/12/2015;DG#06;0;0;#DIV/0!
13/12/2015;DG#07;0;0;#DIV/0!
13/12/2015;DG#08;0;0;#DIV/0!
13/12/2015;DG#09;0;0;#DIV/0!
13/12/2015;DG#10;0;0;#DIV/0!
13/12/2015;DG#11;0;0;#DIV/0!
13/12/2015;DG#12;0;0;#DIV/0!
13/12/2015;DG#13;0;0;#DIV/0!
13/12/2015;DG#14;0;0;#DIV/0!
13/12/2015;DG#15;0;0;#DIV/0!
13/12/2015;DG#16;0;0;#DIV/0!
13/12/2015;DG#17;0;0;#DIV/0!
13/12/2015;DG#18;140776;29996;213,08
13/12/2015;DG#19;139992;29176;208,41
13/12/2015;DG#20;0;0;#DIV/0!
13/12/2015;DG#21;0;0;#DIV/0!
13/12/2015;DG#22;0;0;#DIV/0!
13/12/2015;DG#23;126416;26532;209,88
14/12/2015;DG#01;0;0;#DIV/0!
14/12/2015;DG#02;0;0;#DIV/0!
14/12/2015;DG#03;0;0;#DIV/0!
14/12/2015;DG#04;0;0;#DIV/0!
14/12/2015;DG#05;0;0;#DIV/0!
14/12/2015;DG#06;0;0;#DIV/0!
14/12/2015;DG#07;0;0;#DIV/0!
14/12/2015;DG#08;0;0;#DIV/0!
14/12/2015;DG#09;0;0;#DIV/0!
14/12/2015;DG#10;0;0;#DIV/0!
14/12/2015;DG#11;0;0;#DIV/0!
14/12/2015;DG#12;0;0;#DIV/0!
14/12/2015;DG#13;0;0;#DIV/0!
14/12/2015;DG#14;0;0;#DIV/0!
14/12/2015;DG#15;0;0;#DIV/0!
14/12/2015;DG#16;0;0;#DIV/0!
14/12/2015;DG#17;0;0;#DIV/0!
14/12/2015;DG#18;209208;44476;212,59
14/12/2015;DG#19;209560;43584;207,98
14/12/2015;DG#20;0;0;#DIV/0!
14/12/2015;DG#21;0;0;#DIV/0!
14/12/2015;DG#22;0;16;#DIV/0!
14/12/2015;DG#23;189056;39622;209,58
15/12/2015;DG#01;0;0;#DIV/0!
15/12/2015;DG#02;0;0;#DIV/0!
15/12/2015;DG#03;0;0;#DIV/0!
15/12/2015;DG#04;0;0;#DIV/0!
15/12/2015;DG#05;0;0;#DIV/0!
15/12/2015;DG#06;0;0;#DIV/0!
15/12/2015;DG#07;0;0;#DIV/0!
15/12/2015;DG#08;0;0;#DIV/0!
